City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Fatehpur Sikri,IN,78.53,clear sky,27.1,77.6667,Hotel Goverdhan Tourist Complex
267,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
269,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
276,Atuona,PF,78.87,light rain,-9.8,-139.0333,Villa Enata
280,Kavaratti,IN,81.93,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
281,Belmonte,BR,81.93,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
284,Wagar,SD,87.58,clear sky,16.1525,36.2032,
287,Maldonado,UY,75.22,clear sky,-34.6667,-54.9167,La Cimarrona
289,Cabo San Lucas,MX,80.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
291,Manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
292,Taoudenni,ML,81.25,clear sky,22.6783,-3.9836,
293,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
298,Huarmey,PE,75.67,few clouds,-10.0681,-78.1522,Hotel Miramar
306,Alibag,IN,84.27,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
313,General Roca,AR,78.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
319,Ambilobe,MG,75.42,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
323,Yanam,IN,79.3,overcast clouds,16.7333,82.2167,The Regency Hotel
325,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
326,Mormugao,IN,81.66,scattered clouds,15.4,73.8,Coconut Creek Resort
328,El Vigia,VE,87.84,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
329,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
330,Mankapur,IN,77.31,clear sky,27.0333,82.2333,surat hotel
333,Mubi,NG,88.23,overcast clouds,10.2676,13.2644,Hotel
338,Rusera,IN,79.65,clear sky,25.75,86.0333,Santosh Hotel&Santosh resturent
341,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Nuevo Progreso,MX,84.88,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
346,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
347,Katy,US,76.75,haze,29.7858,-95.8244,Hilton Garden Inn Houston West Katy
353,Puerto Madero,MX,85.62,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
357,Thinadhoo,MV,83.68,overcast clouds,0.5333,72.9333,
359,Lorengau,PG,80.44,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
362,Pandan,PH,78.75,overcast clouds,14.0453,124.1694,Bonifacio Lodge
363,Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
365,Nueva Guinea,NI,87.39,overcast clouds,11.6876,-84.4562,Posadita La Reyna
366,Upington,ZA,75.58,few clouds,-28.4478,21.2561,River Place Manor
