City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Kipini,KE,-2.5257,40.5262,79.2,84,0,13.24,clear sky
262,Kotar,IN,24.7167,80.9833,81.23,13,0,4.0,clear sky
263,Fatehpur Sikri,IN,27.1,77.6667,78.53,17,0,2.93,clear sky
264,Along,IN,28.1667,94.7667,63.84,88,51,3.11,broken clouds
265,Severo-Kurilsk,RU,50.6789,156.125,27.43,73,100,27.2,overcast clouds
266,Lukang,TW,24.0567,120.4352,74.07,87,66,3.67,broken clouds
267,Kloulklubed,PW,7.0419,134.2556,79.3,77,100,17.16,overcast clouds
268,Paamiut,GL,61.994,-49.6678,11.14,80,5,5.5,clear sky
269,Carnarvon,AU,-24.8667,113.6333,75.27,78,100,16.11,overcast clouds
270,Oyama,JP,36.3,139.8,49.59,89,100,10.31,moderate rain
271,Sobolevo,RU,54.4299,31.8996,30.74,93,33,5.97,scattered clouds
272,Vanavara,RU,60.34,102.2797,18.95,94,100,8.46,overcast clouds
273,Evensk,RU,61.95,159.2333,30.33,94,100,8.23,snow
274,Tuatapere,NZ,-46.1333,167.6833,50.94,93,64,4.92,broken clouds
275,Muroto,JP,33.2833,134.15,50.9,91,100,21.36,light rain
276,Atuona,PF,-9.8,-139.0333,78.87,79,59,17.25,light rain
277,Havoysund,NO,70.9963,24.6622,35.83,75,100,43.93,light rain
278,Qianan,CN,44.9932,124.0581,23.4,59,0,6.93,clear sky
279,Harnosand,SE,62.6323,17.9379,35.62,90,0,7.31,clear sky
280,Kavaratti,IN,10.5669,72.642,81.93,68,0,12.8,clear sky
281,Belmonte,BR,-15.8631,-38.8828,81.93,69,12,10.16,few clouds
282,Zeya,RU,53.75,127.2667,4.8,98,100,1.86,overcast clouds
283,Hamilton,US,39.1834,-84.5333,72.19,29,0,14.97,clear sky
284,Wagar,SD,16.1525,36.2032,87.58,15,4,7.61,clear sky
285,Ancud,CL,-41.8697,-73.8203,56.23,77,90,14.81,light rain
286,Gusau,NG,12.1628,6.6614,91.69,12,100,7.34,overcast clouds
287,Maldonado,UY,-34.6667,-54.9167,75.22,36,8,16.96,clear sky
288,Sakakah,SA,29.9697,40.2064,60.37,35,100,16.04,overcast clouds
289,Cabo San Lucas,MX,22.8909,-109.9124,80.62,48,100,1.99,overcast clouds
290,Wanaka,NZ,-44.7,169.15,58.1,74,99,1.16,moderate rain
291,Manali,IN,13.1667,80.2667,87.89,86,75,9.1,broken clouds
292,Taoudenni,ML,22.6783,-3.9836,81.25,12,0,10.11,clear sky
293,San Andres,CO,12.5847,-81.7006,86.02,70,20,12.66,few clouds
294,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,75,8.05,broken clouds
295,Tromso,NO,69.6496,18.957,37.42,56,75,17.27,broken clouds
296,Dunedin,NZ,-45.8742,170.5036,58.8,89,100,8.01,overcast clouds
297,Aswan,EG,24.0934,32.907,73.45,18,0,14.56,clear sky
298,Huarmey,PE,-10.0681,-78.1522,75.67,72,24,12.46,few clouds
299,Palmer,US,42.1584,-72.3287,58.37,29,40,26.46,scattered clouds
300,Portland,US,45.5234,-122.6762,47.61,93,100,6.91,light rain
301,Darlawn,IN,24.0167,92.9,60.03,39,90,3.31,overcast clouds
302,Zavetnoye,RU,47.1194,43.8903,35.94,83,98,12.59,overcast clouds
303,Port-Cartier,CA,50.0334,-66.8654,37.62,88,98,10.38,overcast clouds
304,Sawakin,SD,19.1059,37.3321,74.01,62,0,2.75,clear sky
305,Mackay,AU,-21.15,149.2,69.67,94,69,6.91,broken clouds
306,Alibag,IN,18.6411,72.8792,84.27,70,3,9.55,clear sky
307,Dubna,RU,56.7333,37.1667,28.8,98,21,1.7,few clouds
308,Muravlenko,RU,63.7898,74.523,3.78,99,78,11.34,broken clouds
309,Moron,AR,-34.6534,-58.6198,71.98,59,59,10.27,broken clouds
310,Raymond Terrace,AU,-32.75,151.75,63.95,100,0,5.75,clear sky
311,Toktogul,KG,41.8708,72.9402,39.25,98,100,0.96,overcast clouds
312,Luderitz,NA,-26.6481,15.1594,76.14,61,0,14.88,clear sky
313,General Roca,AR,-39.0333,-67.5833,78.62,23,6,16.06,clear sky
